,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KOMPOSISI %,,Category,,,,Ester,Ester,Additive,Base Oil,Base Oil,Base Oil,,,Ester,,,,VM,VM,,,,,,,,,,,,,,,Hasil Pengukuran,,,,,,,,
No,Tanggal,Entry,Genlube 135,Genlube 165,Genlube 6165,Genlube 0831,Triester ,CV 1103,Cosco S4,Cosco S6,Cosco S8,N 150,N 500,Priolube (Palm Ester 3970),PAMA 52%,PAMA 62%-Z1,"SPAMA 20/5 - 41,5%",VM -  NMM (HV),VM - SPAMA 52%,Lucant HC 600,RF 6066,Lubrizol VL 9101F,FC 9250,FC 9270,WN 1014,WN 2018,WN 2112,WN 2118,WN 7014,WN 9014,WN 2010 B,PV 1510,Total,KV 40,KV 100,Vi,HTHS (mPa.S),CCS (mPa.S),Pour Point (C),Noack (%),4 Ball (WSD/Coef Friction,Flash Point (C)
117,09 Oktober 2020,H 410,,,,,,,90,,,,,,,,,10,,,,,,,,,,,,,,,100,-,11.79,-,,,,,,
118,09 Oktober 2020,H 65,,,,,,,,95,,,,,,,,5,,,,,,,,,,,,,,,100,-,8.9,-,,,,,,
119,09 Oktober 2020,H 610,,,,,,,,90,,,,,,,,10,,,,,,,,,,,,,,,100,-,9.78,-,,,,,,
120,09 Oktober 2020,H 85,,,,,,,,,95,,,,,,,5,,,,,,,,,,,,,,,100,-,9.21,-,,,,,,
121,09 Oktober 2020,H 810,,,,,,,,,90,,,,,,,10,,,,,,,,,,,,,,,100,-,19.61,-,,,,,,
122,12 Oktober 2020,10W30 - R2 - Improve 2,5,,,5,,,,,76.55,,,,,,,,5,,,,,7.65,,0.6,,,,0.2,,,100,59.27,10.05,156.971,,,,,,
123,12 Oktober 2020,10W30 - R2 - Improve 3,5,,,5,,,,,75.55,,,,,,,,6,,,,,7.65,,0.6,,,,0.2,,,100,61.97,10.235,152.983,,,,,,
124,12 Oktober 2020,10W30 - R2 - Improve 4,5,,,5,,,,,74.55,,,,,,,,7,,,,,7.65,,0.6,,,,0.2,,,100,63.68,10.38,151.298,,,,,,
125,12 Oktober 2020,F 540 - 28,,,,,10,14.3,,10,57.7,,,,,,,8,,,,,,,,,,,,,,,100,96.02,14.74,160.212,,,,,,
126,12 Oktober 2020,F 540 - 29,,,,,10,14.3,,15,52.7,,,,,,,8,,,,,,,,,,,,,,,100,93.495,14.935,167.813,4.258,15089,-33,6.50%,,
127,12 Oktober 2020,F 540 - 30,,,,,10,14.3,35,20,10.7,,,,,,,,10,,,,,,,,,,,,,,100,63.885,10.565,155.087,,,,,,
128,12 Oktober 2020,F 540 - 31,,,,,5,14.3,35,20,10.7,,,5,,,,,10,,,,,,,,,,,,,,100,56.375,9.92,163.615,,,,,,
129,12 Oktober 2020,5W30 - R4 - Improve 4,,,,,10,,,,76.72,,,,,,,,5,,,,,,,,,,,,,8.28,100,70.085,10.58,138.559,3.388,,,,,
130,12 Oktober 2020,5W30 - R4 - Improve 5,,,,,10,,,,75.72,,,,,,,,6,,,,,,,,,,,,,8.28,100,71.06,10.94,144.019,3.389,,,,,
